CWE,Total_Count
https://cwe.mitre.org/data/definitions/703.html,72173
https://cwe.mitre.org/data/definitions/502.html,5700
https://cwe.mitre.org/data/definitions/78.html,3140
https://cwe.mitre.org/data/definitions/330.html,3093
https://cwe.mitre.org/data/definitions/22.html,2600
https://cwe.mitre.org/data/definitions/89.html,725
https://cwe.mitre.org/data/definitions/327.html,400
https://cwe.mitre.org/data/definitions/605.html,400
https://cwe.mitre.org/data/definitions/20.html,240
https://cwe.mitre.org/data/definitions/400.html,200
https://cwe.mitre.org/data/definitions/259.html,200
https://cwe.mitre.org/data/definitions/295.html,100
